Nome Completo do Arquivo, Nome do Jogo, Tamanho, CRC, MD5, SHA1
Custer's Revenge (USA).zip, Custer's Revenge, 2566, 1901FF1E, 59a91c85385874f03eaa52022b00fe38, 7fc3c245cbdeb8a2c1709681b8490816465db53c
Dancing Plate (USA).zip, Dancing Plate, 3087, 7E81C105, 69bb2acf5e3a7fd69adab24fa64249d3, 450afb0be9fcec8a9a6b24a1f4b31b91ccb4a05b
Dark Cavern (USA).zip, Dark Cavern, 3350, 296F1137, 023188eee6092b979f0ad4374c9eece9, 8faa78202304fc920fc5541027c4f6560e535f9c
Dark Chambers (USA).zip, Dark Chambers, 9320, 945DFD9C, 40c24132646ca87b7cafd2f6d230987f, fd08015186b8c56b6a935c506b0d558f6fded2e8
Deadly Duck (USA).zip, Deadly Duck, 2818, 436B035F, a82fcce2e916ba37c5c92f065aadb310, 22068371f33349650c539485c9b316f6e2d1ca69
Death Trap (USA).zip, Death Trap, 3224, 004A6274, f1e9ce045f33bc7cdf53159657de06c2, 5c23150d3c822fea6fe4fb0a449b66e8ae0f640f
Defender (USA).zip, Defender, 3459, E4206E8C, 1b16395a7c74abb76e732c2d7ae76d93, 66d9b497b2820b94eb6b1b8f3d045fc93db92fb7
Demolition Herby (USA).zip, Demolition Herby, 3182, 7701207D, 0290a02e38aa6c7e6a7950fee6772feb, 22168bccd5b3ef4c1e6ec7d3dc0c13f7a6f33a50
Demon Attack (USA) (Rev 1).zip, Demon Attack, 3523, 22A0BDC0, 9a67891e2a0eceef9d1675d214f2fa0c, 025a36634cd4edca55fb6b2d724ed5eb4db73639
Demons to Diamonds (USA).zip, Demons to Diamonds, 2879, 14923DC2, 05c8daf71b3e03b50cbba7c9b97095e8, 129e8413a03c7b374313e691cbb8dac49b72de2c
Depth Charge (USA) (Proto).zip, Depth Charge, 2641, F94C382F, 810f4ae1cf706c1b8bc89e50a0155b33, b3264a454610e53e05e45150d01e1006b6f0f13b
Desert Falcon (USA).zip, Desert Falcon, 10480, 02EE22DD, 9ca0ec82fbd9a96d7787fc0bf4f18938, f0f2dcb3330a7d898bd0c8730735ce2cfc344afa
Dice Puzzle (USA).zip, Dice Puzzle, 3042, ACD9CC82, f89d4332249d1035e07647bcd3d1e18c, 23396ed01d2d99904c395b05f29760b0b287172f
Dig Dug (USA).zip, Dig Dug, 10275, 2F7BF62C, 4821701b9dcaa5d05ceee28dd0831c15, 3e433630d05ac3618ffc769f1f603df1ef55445b
Dishaster (USA).zip, Dishaster, 2659, 45A5831B, 5c3a9d07b90088af39a5ab60f39eb418, 0d9d523f0956314852f5b16404a9366b37e046f5
Dodge 'Em ~ Dodger Cars (USA).zip, Dodge 'Em ~ Dodger Cars, 2687, 7FE431FF, 3222df5369eeb217bcae77045ea67996, 87c08b8edbd27cb719dd25ce3d58c8768637cce5
Dolphin (USA).zip, Dolphin, 3311, 5A15B380, 991b636b82aed286c5717936ebded8a7, 3822025e06d33510ea20e0708d02f9d2f30054ab
Donald Duck's Speedboat (USA) (Proto).zip, Donald Duck's Speedboat, 4030, 4388B277, 492d07f45192b8c769ab5446ce0fb927, 8ac009f267b7349d3d2116ad2eba3cdf6efb15a7
Donkey Kong (USA).zip, Donkey Kong, 2963, 47E2DB55, 16345cb82dcea790fd6f894361ad3ac3, d50f8d034bf243f50230c800137318033246e21b
Donkey Kong Junior (USA).zip, Donkey Kong Junior, 4930, 85F117B4, a3f65209312e52a2203555c3d5962d2c, 4381f3714f4252df249eb8994f4d5783da1be389
Double Dragon (USA).zip, Double Dragon, 10344, E7F2E24E, 2cc2010cbc2eb8bb252634124324e280, 8759074fcdba3f1803edee57db49da7b39762f34
Double Dunk (USA).zip, Double Dunk, 10720, 8EC70115, 55dc5a210a912e3f7725138a4d66fd65, 8953d2f5c6f51e197cd958f6b9255dce039b30a5
